permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
13964,1000500,2015-09-21,2025-10-31,NORM,1100500
13983,1000500,2016-10-03,2020-09-18,NORM,1100500
14008,1000500,1992-01-02,2025-10-31,NORM,1100500
14011,1000500,2014-08-19,2017-07-25,NORM,1100500
14058,1000500,1925-12-31,1948-07-07,NORM,1100500
14066,1000500,1925-12-31,1954-04-20,NORM,1100500
14066,1000500,1957-03-01,1980-11-19,NORM,1100500
14090,1000500,1925-12-31,1986-06-11,NORM,1100500
14154,1000500,1925-12-31,1958-06-04,NORM,1100500
14154,1000500,1968-07-08,1972-09-27,NORM,1100500
14189,1000500,1957-03-01,1984-07-18,NORM,1100500
14218,1000500,1925-12-31,1954-04-20,NORM,1100500
14218,1000500,1957-03-01,1989-02-08,NORM,1100500
14250,1000500,1925-12-31,1981-09-09,NORM,1100500
14277,1000500,1957-03-01,1962-01-31,NORM,1100500
14277,1000500,1965-03-04,2025-10-31,NORM,1100500
14295,1000500,2018-06-07,2022-10-31,NORM,1100500
14297,1000500,2013-12-02,2025-10-31,NORM,1100500
14314,1000500,1957-03-01,1958-06-11,NORM,1100500
14322,1000500,1925-12-31,2005-03-24,NORM,1100500
14323,1000500,1984-11-23,2006-09-29,NORM,1100500
14338,1000500,2017-06-19,2025-10-31,NORM,1100500
14357,1000500,1957-03-01,1985-06-12,NORM,1100500
14402,1000500,1963-03-14,1979-02-07,NORM,1100500
14429,1000500,1957-03-01,1969-03-05,NORM,1100500
14461,1000500,1970-04-23,1976-12-08,NORM,1100500
14488,1000500,1957-03-01,1967-07-19,NORM,1100500
14496,1000500,1925-12-31,1983-12-28,NORM,1100500
14509,1000500,1925-12-31,1982-06-02,NORM,1100500
14525,1000500,1957-03-01,1986-09-17,NORM,1100500
14533,1000500,1925-12-31,1981-07-29,NORM,1100500
14541,1000500,1925-12-31,2025-10-31,NORM,1100500
14542,1000500,2014-04-03,2025-10-31,NORM,1100500
14568,1000500,1925-12-31,1930-02-06,NORM,1100500
14568,1000500,1931-11-16,1941-08-20,NORM,1100500
14568,1000500,1944-06-07,1945-02-28,NORM,1100500
14579,1000500,2020-01-28,2025-10-31,NORM,1100500
14592,1000500,1957-03-01,1988-02-24,NORM,1100500
14593,1000500,1982-11-18,2025-10-31,NORM,1100500
14601,1000500,2014-05-01,2018-06-04,NORM,1100500
14605,1000500,1925-12-31,1941-08-20,NORM,1100500
14613,1000500,1957-03-01,1964-04-22,NORM,1100500
14656,1000500,1969-03-06,2012-10-04,NORM,1100500
14664,1000500,1957-03-01,1966-06-01,NORM,1100500
14699,1000500,1958-03-12,1958-04-09,NORM,1100500
14702,1000500,1995-03-16,2025-10-31,NORM,1100500
14704,1000500,2017-06-02,2022-03-01,NORM,1100500
14714,1000500,2018-08-28,2025-10-31,NORM,1100500
14728,1000500,1960-03-23,1963-06-12,NORM,1100500
14736,1000500,1925-12-31,2001-10-09,NORM,1100500
14760,1000500,1957-03-01,1972-09-13,NORM,1100500
14760,1000500,1974-04-11,1981-10-28,NORM,1100500
14763,1000500,2020-09-21,2024-12-20,NORM,1100500
14776,1000500,2015-11-18,2025-10-31,NORM,1100500
14779,1000500,1957-03-01,1963-01-16,NORM,1100500
14795,1000500,1925-12-31,1950-06-30,NORM,1100500
14795,1000500,1964-02-20,2001-08-06,NORM,1100500
14816,1000500,1957-03-01,1957-08-21,NORM,1100500
14832,1000500,1957-03-01,1960-10-26,NORM,1100500
14859,1000500,1925-12-31,1981-06-24,NORM,1100500
14867,1000500,1957-03-01,1959-05-27,NORM,1100500
14867,1000500,1965-09-30,1973-05-30,NORM,1100500
14875,1000500,1941-08-20,1957-03-01,NORM,1100500
14882,1000500,2021-03-22,2025-09-19,NORM,1100500
14883,1000500,1957-03-01,1999-04-30,NORM,1100500
14889,1000500,2016-02-01,2025-10-31,NORM,1100500
14891,1000500,1957-03-01,2005-08-10,NORM,1100500
14904,1000500,1925-12-31,1969-07-15,NORM,1100500
14912,1000500,1925-12-31,1985-09-25,NORM,1100500
14939,1000500,2018-11-06,2025-10-31,NORM,1100500
14955,1000500,1925-12-31,1941-08-20,NORM,1100500
15042,1000500,1929-07-22,1941-08-20,NORM,1100500
15042,1000500,1957-03-01,1969-02-12,NORM,1100500
15069,1000500,1925-12-31,2024-11-25,NORM,1100500
15077,1000500,1987-04-09,2009-01-05,NORM,1100500
15085,1000500,1957-03-01,1958-04-09,NORM,1100500
15149,1000500,1957-03-01,1960-12-14,NORM,1100500
15149,1000500,1963-03-14,1967-08-30,NORM,1100500
15157,1000500,1957-03-01,1968-08-06,NORM,1100500
15165,1000500,1957-03-01,1963-12-04,NORM,1100500
15202,1000500,1999-07-01,2025-10-31,NORM,1100500
15237,1000500,1957-03-01,1972-01-19,NORM,1100500
15272,1000500,2021-12-20,2023-12-15,NORM,1100500
15291,1000500,2020-09-21,2024-09-20,NORM,1100500
15315,1000500,2024-06-24,2025-10-31,NORM,1100500
15317,1000500,1958-06-04,1966-12-14,NORM,1100500
15325,1000500,1925-12-31,1944-06-07,NORM,1100500
15341,1000500,1925-12-31,1968-06-11,NORM,1100500
15368,1000500,1950-07-03,2000-05-04,NORM,1100500
15401,1000500,2015-07-01,2016-06-02,NORM,1100500
15404,1000500,2015-07-02,2016-07-05,NORM,1100500
15408,1000500,2015-07-06,2025-10-31,NORM,1100500
15448,1000500,1957-03-01,1967-05-17,NORM,1100500
15456,1000500,1925-12-31,1998-12-31,NORM,1100500
15456,1000500,2016-04-04,2019-08-08,NORM,1100500
15464,1000500,1957-03-01,1967-11-29,NORM,1100500
15472,1000500,1957-03-01,2008-10-06,NORM,1100500
15480,1000500,1957-03-01,1963-10-30,NORM,1100500
15488,1000500,2015-07-20,2025-10-31,NORM,1100500
15499,1000500,1957-03-01,1969-05-28,NORM,1100500
15528,1000500,1957-03-01,1965-06-16,NORM,1100500
15536,1000500,1957-03-01,1968-01-31,NORM,1100500
15544,1000500,1957-03-01,1964-01-29,NORM,1100500
15544,1000500,1968-11-07,1975-08-13,NORM,1100500
15553,1000500,2011-12-13,2016-06-30,NORM,1100500
15560,1000500,1973-03-01,2011-06-30,NORM,1100500
15579,1000500,1959-03-25,2025-10-31,NORM,1100500
15659,1000500,1925-12-31,2001-02-06,NORM,1100500
15667,1000500,1957-03-01,2009-10-15,NORM,1100500
15704,1000500,1925-12-31,1951-09-06,NORM,1100500
15707,1000500,2015-11-02,2025-10-31,NORM,1100500
15712,1000500,1982-07-01,1986-12-17,NORM,1100500
15719,1000500,2015-11-10,2015-11-10,NORM,1100500
15720,1000500,1925-12-31,2025-10-31,NORM,1100500
15747,1000500,1972-01-20,1993-07-12,NORM,1100500
15763,1000500,1957-03-01,1985-10-09,NORM,1100500
15797,1000500,2015-11-30,2018-04-03,NORM,1100500
15819,1000500,1957-03-01,1968-09-10,NORM,1100500
15826,1000500,2025-07-23,2025-10-31,NORM,1100500
15835,1000500,1957-03-01,1968-07-23,NORM,1100500
15843,1000500,1957-03-01,1973-05-30,NORM,1100500
15850,1000500,2021-09-20,2025-10-31,NORM,1100500
15915,1000500,1957-03-01,1977-05-18,NORM,1100500
15966,1000500,1957-03-01,1999-11-30,NORM,1100500
15974,1000500,1957-03-01,1968-09-10,NORM,1100500
15980,1000500,2016-04-08,2022-06-17,NORM,1100500
16029,1000500,1968-11-07,1982-11-17,NORM,1100500
16044,1000500,2016-05-16,2016-05-16,NORM,1100500
16087,1000500,2016-07-05,2025-10-31,NORM,1100500
16088,1000500,1982-01-14,1986-05-07,NORM,1100500
16109,1000500,1925-12-31,1985-11-06,NORM,1100500
16176,1000500,1925-12-31,1929-08-01,NORM,1100500
16205,1000500,1957-03-01,1967-10-04,NORM,1100500
16256,1000500,1957-03-01,1965-12-15,NORM,1100500
16267,1000500,2016-09-07,2016-09-07,NORM,1100500
16276,1000500,2016-10-03,2016-10-03,NORM,1100500
16279,1000500,2016-10-03,2016-10-03,NORM,1100500
16280,1000500,1967-09-28,1973-11-14,NORM,1100500
16309,1000500,2025-07-18,2025-10-31,NORM,1100500
16336,1000500,1973-03-01,1982-10-20,NORM,1100500
16342,1000500,2016-10-31,2016-10-31,NORM,1100500
